Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Adjunto,Campo personalizado (Issue color),Campo personalizado (Metas),Campo personalizado (Rank),Sprint,Campo personalizado (Start date),Campo personalizado (Story point estimate),Campo personalizado (Team),Campo personalizado (Vulnerability),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
(Front)Informar al usuario sobre las consecuencias de eliminar su cuenta [2h],TIC-77,12178,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:14 PM,15/mar/26 6:42 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006db:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:14 PM,12067,TIC-29,"Como usuario, quiero poder eliminar mi cuenta voluntariamente, para ejercer mi derecho a la privacidad y retiro de datos de la plataforma."
(Front)Crear una opción dentro del perfil para solicitar la eliminación de la cuenta [2h],TIC-76,12176,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:14 PM,15/mar/26 6:42 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006d3:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:14 PM,12067,TIC-29,"Como usuario, quiero poder eliminar mi cuenta voluntariamente, para ejercer mi derecho a la privacidad y retiro de datos de la plataforma."
(Back)Definir el proceso para la eliminación voluntaria de la cuenta [2h],TIC-75,12174,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ANGHELO ANIBAL PECHO ULLOA,712020:2383b5b8-5a36-4419-8a61-107afe09f846,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:14 PM,15/mar/26 6:42 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006cv:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:14 PM,12067,TIC-29,"Como usuario, quiero poder eliminar mi cuenta voluntariamente, para ejercer mi derecho a la privacidad y retiro de datos de la plataforma."
PA: El usuario debe recibir una confirmación cuando sus datos se actualicen.,TIC-74,12172,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:13 PM,13/mar/26 5:19 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006cn:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:13 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
PA: El sistema debe guardar correctamente los cambios realizados.,TIC-73,12170,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ANGHELO ANIBAL PECHO ULLOA,712020:2383b5b8-5a36-4419-8a61-107afe09f846,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:13 PM,13/mar/26 5:20 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006cf:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:13 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
"PA: El usuario debe poder modificar su nombre, teléfono y foto.",TIC-72,12168,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:13 PM,13/mar/26 5:21 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006c7:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:13 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
PA: El usuario debe poder visualizar su información personal en su perfil.,TIC-71,12166,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:13 PM,13/mar/26 5:21 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006bz:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:13 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
(Front)Permitir al usuario modificar y actualizar sus datos,TIC-70,12164,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:12 PM,15/mar/26 6:41 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006br:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:12 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
(Front)Mostrar un mensaje confirmando que los datos fueron actualizados [1h],TIC-69,12162,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:12 PM,15/mar/26 6:40 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006bj:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:12 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
(BD)Guardar los cambios realizados en la información personal [2h],TIC-68,12160,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:11 PM,15/mar/26 6:39 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006bb:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:11 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
(Back)Validar que los datos ingresados estén completos [2h],TIC-67,12158,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ANGHELO ANIBAL PECHO ULLOA,712020:2383b5b8-5a36-4419-8a61-107afe09f846,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:11 PM,15/mar/26 6:39 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006b3:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:11 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
(Front)Permitir al usuario cambiar su foto de perfil [2h],TIC-66,12156,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:11 PM,15/mar/26 6:39 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006av:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:11 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
(Front)Crear una sección donde el usuario pueda ver su información personal [2h],TIC-65,12154,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:11 PM,15/mar/26 6:38 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006an:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:11 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
(Back)Definir qué datos personales podrá modificar el usuario en su perfil [2h],TIC-64,12152,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,11/mar/26 3:10 PM,15/mar/26 6:38 PM,,,,0,,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,,,,,,,,,,,,0|i006af:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:10 PM,12066,TIC-28,"Como usuario, quiero poder actualizar mis datos personales (nombre, teléfono, foto), para mantener mi perfil vigente y recibir comunicaciones correctamente."
"PA: Verificar que el sistema muestre un mensaje de error claro si el formato del correo electrónico es inválido (por ejemplo, si falta el ""@""). ",TIC-63,12118,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:34 AM,13/mar/26 6:12 PM,,,,0,,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i006vp:i,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:34 AM,12040,TIC-2,"Como usuario registrado, quiero iniciar sesión con mi correo y contraseña, para ingresar a mi cuenta de forma segura."
"PA: Verificar que, tras un ingreso exitoso, el usuario sea enviado a la pantalla correspondiente a su perfil en menos de 2 segundos. ",TIC-62,12116,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:34 AM,13/mar/26 6:12 PM,,,,0,,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i006vp:r,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:34 AM,12040,TIC-2,"Como usuario registrado, quiero iniciar sesión con mi correo y contraseña, para ingresar a mi cuenta de forma segura."
PA: Verificar que los caracteres de la contraseña permanezcan ocultos (con puntos o asteriscos) mientras el usuario los escribe.,TIC-61,12114,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:34 AM,13/mar/26 5:52 PM,,,,0,,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i006vq:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:34 AM,12040,TIC-2,"Como usuario registrado, quiero iniciar sesión con mi correo y contraseña, para ingresar a mi cuenta de forma segura."
"PA: Verificar que, al dejar los espacios vacíos y presionar el botón de ingreso, el sistema muestre una alerta solicitando los datos.",TIC-60,12112,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:34 AM,13/mar/26 5:51 PM,,,,0,,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i006vp:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:34 AM,12040,TIC-2,"Como usuario registrado, quiero iniciar sesión con mi correo y contraseña, para ingresar a mi cuenta de forma segura."
PA: Verificar que el sistema permita el ingreso únicamente cuando el correo y la contraseña coinciden exactamente con los datos de registro.,TIC-59,12110,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:33 AM,13/mar/26 5:51 PM,,,,0,,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i006vn:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:33 AM,12040,TIC-2,"Como usuario registrado, quiero iniciar sesión con mi correo y contraseña, para ingresar a mi cuenta de forma segura."
"[Backend] Configurar el destino post-ingreso: Garantizar que, tras reconocer los datos, el sistema dirija al usuario a su panel principal o pantalla de inicio. [4 hrs.]",TIC-58,12108,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:33 AM,15/mar/26 6:22 PM,,,,0,,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i00693:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:33 AM,12040,TIC-2,"Como usuario registrado, quiero iniciar sesión con mi correo y contraseña, para ingresar a mi cuenta de forma segura."
"[Backend] Asegurar la veracidad de los datos: Configurar el sistema para que impida el acceso si el correo o la clave no coinciden con los registrados, indicando el error al usuario. [4 hrs.]",TIC-57,12106,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:33 AM,13/mar/26 6:11 PM,,,,0,,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i0068v:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:33 AM,12040,TIC-2,"Como usuario registrado, quiero iniciar sesión con mi correo y contraseña, para ingresar a mi cuenta de forma segura."
[Backend] Habilitar el proceso de ingreso de cuenta: Configurar el sistema para que reconozca los datos guardados previamente y permita el paso al usuario. [3 hrs.],TIC-56,12104,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:33 AM,13/mar/26 6:11 PM,,,,0,,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i0068n:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:33 AM,12040,TIC-2,"Como usuario registrado, quiero iniciar sesión con mi correo y contraseña, para ingresar a mi cuenta de forma segura."
"[Frontend] Crear el formulario visual de acceso: Incluir los espacios para ingresar el correo electrónico y la clave de seguridad, junto con el botón de ingreso. [3 hrs.]",TIC-55,12102,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,marcialuciamirandapinto,6340abec7f85f16777a2e7fc,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:32 AM,13/mar/26 6:11 PM,,,,0,,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i0068f:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:32 AM,12040,TIC-2,"Como usuario registrado, quiero iniciar sesión con mi correo y contraseña, para ingresar a mi cuenta de forma segura."
PA: Verificar que los datos de registro se guardan correctamente,TIC-54,12100,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:20 AM,13/mar/26 4:52 PM,,,,0,"Revisar que la información que se ingresa al registrarse se guarda de forma correcta y completa.

Criterios de aceptación:
- Todos los datos obligatorios se guardan.
- No se guarda información incompleta.
- Si falta algún dato, se muestra un mensaje claro.",,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i006sv:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:20 AM,12039,TIC-1,"Como usuario nuevo, quiero registrarme eligiendo entre Comprador o Promotor, para acceder a las funciones específicas de mi perfil."
PA: Verificar que después de registrarse se accede al perfil correcto,TIC-53,12099,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:20 AM,13/mar/26 6:04 PM,,,,0,"Verificar que, después de registrarse, la persona entra a la parte de la aplicación que corresponde según la opción elegida (Comprador o Promotor).

Criterios de aceptación:
- Después de registrarse, la persona ve la pantalla de inicio de su perfil.
- No puede acceder a funciones del otro perfil.",,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i006sn:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:20 AM,12039,TIC-1,"Como usuario nuevo, quiero registrarme eligiendo entre Comprador o Promotor, para acceder a las funciones específicas de mi perfil."
PA: Verificar que el registro permite elegir entre Comprador o Promotor,TIC-52,12096,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Alex Quino Miranda,712020:bd06a512-383a-48c7-a1ac-5db51ebd53c9,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:20 AM,13/mar/26 4:53 PM,11/mar/26 3:23 AM,,,0,"Comprobar que al registrarse, la persona puede seleccionar si quiere ser Comprador o Promotor. 

Criterios de aceptación:
- Al iniciar el registro, se muestran claramente las opciones de Comprador y Promotor.
- La persona puede seleccionar solo una opción.
- La selección se guarda correctamente.",,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i006t3:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:20 AM,12039,TIC-1,"Como usuario nuevo, quiero registrarme eligiendo entre Comprador o Promotor, para acceder a las funciones específicas de mi perfil."
[Backend] Verificar que el correo ingresado no haya sido usado antes por otro usuario. [2 hrs.],TIC-50,12092,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:10 AM,15/mar/26 6:13 PM,,,,0,"Configurar la aplicación para que, tras el registro exitoso, el usuario sea dirigido a la sección inicial de su perfil según el tipo seleccionado.",,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i0067j:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:10 AM,12039,TIC-1,"Como usuario nuevo, quiero registrarme eligiendo entre Comprador o Promotor, para acceder a las funciones específicas de mi perfil."
[Backend] Crear la estructura del usuario en el sistema con todos sus datos y reglas de funcionamiento. [3 hrs.],TIC-49,12090,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,ariana.kremsberger,712020:88af615b-9f5b-48fc-94b6-cafa03ddbcc2,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:10 AM,15/mar/26 6:13 PM,,,,0,Agregar validaciones para los campos requeridos en el registro y mostrar mensajes de error claros si la información es incorrecta o incompleta.,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i0067b:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:10 AM,12039,TIC-1,"Como usuario nuevo, quiero registrarme eligiendo entre Comprador o Promotor, para acceder a las funciones específicas de mi perfil."
"[Base de datos] Definir que el tipo de usuario solo puede ser Comprador o Promotor, sin otros valores. [2 hrs.]",TIC-48,12088,Subtarea,Tareas por hacer,TIC,TicketProject,software,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,Medium,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,11/mar/26 3:09 AM,13/mar/26 6:02 PM,12/mar/26 11:57 PM,,,0,Desarrollar la funcionalidad backend para registrar usuarios y asociar el tipo de perfil (Comprador o Promotor) seleccionado.,,Gustavo Walter Quisbert Chana,712020:669e7ee9-dd20-4b40-90b8-1bef8799dfaa,,,,,,,,,,,,0|i00673:,Tablero Sprint 1,,,,,,Por hacer,11/mar/26 3:10 AM,12039,TIC-1,"Como usuario nuevo, quiero registrarme eligiendo entre Comprador o Promotor, para acceder a las funciones específicas de mi perfil."
